condition,honesty,claimed_solved
1,1.44184885952947,6
1,3.29863122272616,6
1,1.83471085451854,4
1,1.21831399521905,8
1,2.72027518297667,7
1,1.99687548424069,5
1,1.57185378224231,5
1,3.31071057894447,5
1,2.09933340894384,7
1,1.25418404575567,6
1,2.25358717144023,8
1,3.34013287865879,8
1,1.4090481140459,7
1,1.57246885426175,6
1,2.27956951056521,6
1,2.93814937552772,5
1,2.08372248812705,4
1,2.66894131990219,5
1,3.23798786116587,6
1,4.09444451465403,8
1,2.52559418252946,6
1,1.65306946140841,6
1,1.01308763808682,7
1,3.49834288574711,5
1,1.26021949260071,5
1,2.17706345279544,7
1,2.29884206164277,6
1,1.00863154298449,7
1,1.9290649319296,5
1,1.43667853689496,6
1,1.9953636055277,7
1,1.74963627614897,6
1,2.0535909841139,6
1,2.38026647043118,5
1,2.50004625624477,8
1,1.57176127897035,5
1,1.70644620243756,5
1,2.43852290435416,6
1,1.59548751731365,5
1,1.88558157397293,5
1,2.14124072178893,7
1,2.44329852376424,7
1,2.87184958534519,6
1,4.78535070603135,5
1,2.4081536897419,8
1,4.03316551801435,7
1,3.41774408056529,6
1,4.62280669223348,6
1,3.42775054661304,7
1,2.5910563878267,4
1,2.7292969226817,5
1,4.58029148124958,6
1,3.7487935769146,5
1,4.87735427078763,5
1,3.02375288696496,5
1,3.21511470468583,8
1,3.81188802077801,7
1,3.799383284718,5
1,3.8760175280738,5
1,2.96596768976039,5
1,3.69432163503841,7
1,4.17691262097489,7
1,3.59550587074257,6
1,4.2355325483812,5
1,4.55149708278171,5
1,3.20255303519359,6
1,4.24432278564926,5
1,4.89590710958327,6
1,4.77974704493343,4
1,2.733145420584,6
1,3.66760658491592,5
1,2.75843992184405,5
1,2.06036834073057,6
1,2.49463913445601,6
1,4.09467224233537,6
1,1.94874663459533,4
1,4.15610668923424,5
1,2.95868145396958,7
1,2.64417708327466,3
1,3.64602901346638,7
1,3.82396264172516,6
1,3.870887097209,7
1,3.79679550387014,5
0,1.61862688251139,7
0,1.87756086008266,7
0,1.69095621159904,6
0,2.36246092765822,8
0,4.14179171423152,4
0,2.64150101492311,5
0,4.11482164725264,5
0,1.86635183439714,5
0,2.68623626327133,7
0,2.43589373965621,6
0,1.03133396283292,6
0,3.28928745913694,6
0,1.41989900320019,6
0,1.68781804605668,6
0,1.98698595756853,5
0,2.05614871033333,7
0,1.74231616582895,8
0,1.95771651634777,5
0,2.96437702462582,5
0,1.39989809171448,5
0,2.4862177394599,6
0,1.68011942854232,6
0,3.49483178958149,6
0,2.79668461021583,3
0,2.18733150342485,6
0,1.66118707571987,6
0,1.24081489911196,6
0,1.43677080284195,6
0,2.95781267587403,6
0,1.80967766155287,6
0,1.27943582788051,5
0,1.70426659077339,6
0,3.54166194678634,7
0,2.17037942315218,7
0,4.24754988256187,7
0,3.52084708164596,5
0,3.56515320870001,6
0,2.9814743511268,3
0,4.1011564961828,4
0,4.66401342246795,1
0,4.27981791055475,5
0,2.96758518385494,3
0,2.91120075577766,6
0,2.88836750246522,2
0,3.49776009233418,4
0,3.34073242351026,3
0,4.70036212542732,5
0,3.10608025649003,4
0,3.34705667031833,5
0,3.91553992727042,5
0,3.28484517889584,6
0,3.93843857078954,4
0,3.80369399930182,5
0,4.32009070496386,3
0,3.0376202364171,3
0,3.60467063653964,3
0,4.48686360906236,3
0,4.40168186153311,3
0,2.41173721704553,5
0,2.27593597222406,5
0,4.84928101798324,3
0,3.91953567456125,1
0,3.63744253057386,3
0,2.93219605706707,4
0,3.37890132136183,4
0,4.55001564420987,5
0,3.03933566970576,3
0,4.00124836453159,3
0,3.95648395488787,3
0,3.14263751200225,3
0,2.90039306910095,3
0,3.51323593906308,4
0,4.44425219302626,4
0,4.40875724689702,4
0,4.54344493029784,5
0,3.15785850112801,3
0,2.71857518647888,4
0,3.26800353323617,3
0,4.18547321050834,3
0,4.6185423119505,1
0,3.03496418067079,3
