"","Time","Speed","Noise"
"1",623.185480067778,"Slow","None"
"2",547.838147015197,"Slow","None"
"3",709.592051590719,"Slow","None"
"4",815.206571047624,"Slow","None"
"5",719.592612820026,"Slow","None"
"6",732.89885849377,"Slow","None"
"7",566.629646057936,"Slow","None"
"8",722.30465851501,"Slow","None"
"9",605.452461450857,"Slow","None"
"10",789.093551115071,"Slow","None"
"11",626.194614105405,"Slow","None"
"12",474.415758954529,"Slow","None"
"13",565.357362222092,"Slow","None"
"14",657.786034231359,"Slow","None"
"15",454.034828757373,"Slow","None"
"16",636.976427554766,"Slow","None"
"17",537.578602203114,"Slow","None"
"18",546.922343911509,"Slow","None"
"19",528.082462562887,"Slow","None"
"20",755.349339456079,"Slow","None"
"21",690.246949686873,"Slow","Controllable"
"22",522.0781880358,"Slow","Controllable"
"23",684.610322004165,"Slow","Controllable"
"24",450.088480938549,"Slow","Controllable"
"25",526.301599248913,"Slow","Controllable"
"26",589.872951590894,"Slow","Controllable"
"27",528.492516183187,"Slow","Controllable"
"28",739.144101501988,"Slow","Controllable"
"29",510.730057831711,"Slow","Controllable"
"30",609.994905776548,"Slow","Controllable"
"31",523.615371182947,"Slow","Controllable"
"32",601.78176977482,"Slow","Controllable"
"33",452.400096807353,"Slow","Controllable"
"34",440.008729216626,"Slow","Controllable"
"35",565.746598092213,"Slow","Controllable"
"36",611.300038981091,"Slow","Controllable"
"37",746.917678500165,"Slow","Controllable"
"38",428.847751454176,"Slow","Controllable"
"39",693.329964749692,"Slow","Controllable"
"40",617.945000374498,"Slow","Controllable"
"41",710.070851220124,"Slow","Uncontrollable"
"42",744.49179049919,"Slow","Uncontrollable"
"43",698.514954414091,"Slow","Uncontrollable"
"44",466.724939500986,"Slow","Uncontrollable"
"45",439.095980022811,"Slow","Uncontrollable"
"46",389.495287707633,"Slow","Uncontrollable"
"47",596.077948621526,"Slow","Uncontrollable"
"48",582.345909229081,"Slow","Uncontrollable"
"49",646.617349485285,"Slow","Uncontrollable"
"50",557.453563437613,"Slow","Uncontrollable"
"51",736.381908409977,"Slow","Uncontrollable"
"52",556.387723308288,"Slow","Uncontrollable"
"53",345.262487052467,"Slow","Uncontrollable"
"54",669.129114968794,"Slow","Uncontrollable"
"55",731.498281713469,"Slow","Uncontrollable"
"56",482.889127971882,"Slow","Uncontrollable"
