extraversion,happiness
66,16.2480768092719
69,16.6132477258362
56,14.9666295470958
91,19.0787840283389
97,19.6977156035922
47,13.7113092008021
28,10.5830052442584
63,15.8745078663875
72,16.9705627484771
72,16.9705627484771
69,16.6132477258362
63,15.8745078663875
41,12.8062484748657
31,11.13552872566
66,16.2480768092719
59,15.3622914957372
47,13.7113092008021
59,15.3622914957372
91,19.0787840283389
56,14.9666295470958
75,17.3205080756888
97,19.6977156035922
66,16.2480768092719
91,19.0787840283389
50,14.142135623731
34,11.6619037896906
72,16.9705627484771
50,14.142135623731
47,13.7113092008021
78,17.6635217326557
53,14.560219778561
84,18.3303027798234
47,13.7113092008021
41,12.8062484748657
63,15.8745078663875
63,15.8745078663875
75,17.3205080756888
66,16.2480768092719
44,13.2664991614216
47,13.7113092008021
53,14.560219778561
53,14.560219778561
44,13.2664991614216
56,14.9666295470958
69,16.6132477258362
53,14.560219778561
88,18.7616630392937
84,18.3303027798234
59,15.3622914957372
34,11.6619037896906
66,16.2480768092719
94,19.3907194296653
75,17.3205080756888
56,14.9666295470958
44,13.2664991614216
25,10
44,13.2664991614216
44,13.2664991614216
69,16.6132477258362
53,14.560219778561
59,15.3622914957372
66,16.2480768092719
34,11.6619037896906
63,15.8745078663875
72,16.9705627484771
59,15.3622914957372
81,18
69,16.6132477258362
41,12.8062484748657
22,9.38083151964686
44,13.2664991614216
38,12.328828005938
81,18
53,14.560219778561
56,14.9666295470958
81,18
44,13.2664991614216
78,17.6635217326557
56,14.9666295470958
50,14.142135623731
50,14.142135623731
75,17.3205080756888
56,14.9666295470958
78,17.6635217326557
63,15.8745078663875
13,7.21110255092798
81,18
63,15.8745078663875
22,9.38083151964686
66,16.2480768092719
63,15.8745078663875
50,14.142135623731
50,14.142135623731
47,13.7113092008021
38,12.328828005938
47,13.7113092008021
75,17.3205080756888
41,12.8062484748657
53,14.560219778561
53,14.560219778561
50,14.142135623731
53,14.560219778561
44,13.2664991614216
50,14.142135623731
66,16.2480768092719
47,13.7113092008021
84,18.3303027798234
53,14.560219778561
41,12.8062484748657
72,16.9705627484771
69,16.6132477258362
81,18
44,13.2664991614216
56,14.9666295470958
56,14.9666295470958
69,16.6132477258362
59,15.3622914957372
71,16.8522995463527
38,12.328828005938
50,14.142135623731
56,14.9666295470958
63,15.8745078663875
81,18
41,12.8062484748657
63,15.8745078663875
69,16.6132477258362
75,17.3205080756888
72,16.9705627484771
75,17.3205080756888
78,17.6635217326557
81,18
84,18.3303027798234
88,18.7616630392937
56,14.9666295470958
34,11.6619037896906
41,12.8062484748657
69,16.6132477258362
75,17.3205080756888
69,16.6132477258362
28,10.5830052442584
59,15.3622914957372
75,17.3205080756888
50,14.142135623731
44,13.2664991614216
56,14.9666295470958
47,13.7113092008021
66,16.2480768092719
